Repository Name,Is Git Repository,License Type,Git History Intact,First Commit Date,Last Commit Date,Development Span (Months),Lines of Code (Code),Lines of Code (Comments),Lines of Code (Blank),Total Files,Total Commits,Meaningful Commit Count,Commits per Month,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available,Number of Contributors with commits,Total Contributors (All-Time),Contributor List,Branch Count,LLM Tokens,Lexical Tokens,Code Duplication (Weighted %),Code Complexity,AI Detection Percentage,Language Count,Languages Used,Frontend Languages,Backend Languages,Frameworks Used,Frontend Frameworks,Backend Frameworks,Languages Percentage (Bytes > 5%),Frameworks Percentage (Bytes > 5%),Databases Used,Third-Party APIs,Setup Guidelines,Security Findings,Documentation Quality,Repository Rating Score
Portfolio,True,,True,2024-07-07,2026-06-17,23.3,4453,71,517,41,53,28,2.3 commits/mo,0,0,0,0,True,2,3,"Yogesh Saini, Saini-Yogesh, Yogesh Saini",2,16135,16528,0.0%,Low,9.4%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,package.json: react | code_imports: React,React,,JavaScript (51.7%) | CSS (37.3%) | HTML (10.9%),React (62.8%) | Next.js (37.2%),,,Present,Clean,Medium,4.32
Python,True,,True,2025-07-23,2025-07-23,0.0,62,27,18,6,6,4,0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,892,948,0.0%,Moderate,21.1%,1,Python,,Python,,,,Python (100.0%),None Detected,,,Not found in README,Clean,Low,1.34
QR-Code-Maker,True,,True,2024-04-23,2024-06-05,1.4,128,0,19,3,7,7,5.0 commits/mo,0,0,0,0,True,2,3,"Yogesh Saini, Saini-Yogesh, yogesh saini",1,169,185,0.0%,Low,0.0%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,,,,CSS (54.7%) | HTML (22.8%) | JavaScript (22.5%),None Detected,,,Not found in README,Clean,Medium,1.54
rajasthanconnect,True,,True,2026-06-25,2026-07-19,0.8,24846,805,2986,200,49,37,61.2 commits/mo,1,0,1,1,True,3,3,"Saini-Yogesh, Yogesh Saini, Vercel",1,151540,157068,0.4%,Low,11.1%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,"package.json: react,express | code_imports: React,Express",React,Express,JavaScript (72.3%) | CSS (26.8%),React (91.8%),PostgreSQL | Redis | Sql (Schema Found) | Supabase,,Present,Clean,High,4.71
reduxApp,True,,True,2024-07-02,2024-07-11,0.3,172,6,14,11,7,6,23.3 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,2,966,1109,0.0%,Low,7.9%,3,JavaScript | HTML | CSS,CSS | HTML | JavaScript,,package.json: react | code_imports: React,React,,JavaScript (74.3%) | HTML (19.4%) | CSS (6.3%),React (100.0%),,,Present,Clean,High,1.04
restaurant-website-demo,True,,True,2026-03-11,2026-06-03,2.8,3414,41,450,38,15,5,5.4 commits/mo,0,0,0,0,True,1,1,Saini-Yogesh,1,12264,13076,0.0%,Low,9.1%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,code_imports: React,React,,JavaScript (56.8%) | CSS (40.5%),React (78.3%) | Next.js (21.7%),,,Not found in README,Clean,Low,3.16
Resumes,True,,True,2024-08-01,2025-08-03,12.0,0,0,0,0,12,8,1.0 commits/mo,0,0,0,0,True,2,2,"Yogesh Saini, Yogesh Saini",1,0,0,0.0%,N/A,0.0%,0,,,,,,,N/A,None Detected,,,Not found in README,Clean,Low,1.91
Rock-Paper-Scissors-Game,True,,True,2024-06-02,2024-06-02,0.0,190,11,12,3,3,3,0 commits/mo,0,0,0,0,True,2,2,"Saini-Yogesh, Yogesh Saini",1,657,716,0.0%,Low,0.0%,3,CSS | JavaScript | HTML,CSS | HTML | JavaScript,,,,,JavaScript (50.2%) | CSS (27.2%) | HTML (22.6%),None Detected,,,Not found in README,Clean,Low,1.33
Saini-Yogesh,True,,True,2024-04-02,2026-09-02,29.0,0,0,0,0,10,10,0.3 commits/mo,0,0,0,0,True,1,1,Yogesh Saini,1,0,0,0.0%,N/A,0.0%,0,,,,,,,N/A,None Detected,,,Not found in README,Clean,Low,2.01
SAMS,True,,True,2024-04-08,2024-08-11,4.1,716,0,7,1,6,4,1.5 commits/mo,0,0,0,0,True,2,4,"yogesh saini, Saini-Yogesh, Yogesh Saini, Yogesh Saini",1,6409,6498,0.0%,High,10.0%,1,C++,,C++,,,,C++ (100.0%),None Detected,,,Not found in README,Review Required (1),Low,1.99
